id	alpha_mon	beta_mon	gamma_mon	LL_mon	r2_adj_mon	AIC_mon	BIC_mon	model_mon	exitFlag_mon	optimizer_mon
19095099	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
19853659	0.391687	1.100154	-56.592146	-0.000200	0.999994	6.000400	11.675861	ambigNrisk	1.000000	fminsearch
20449865	0.722513	3.930000	-0.158323	-3.260548	0.904000	12.521095	18.196556	ambigNrisk	1.000000	fminsearch
20802900	0.514622	0.436593	-0.240333	-15.802181	0.534740	37.604361	43.279822	ambigNrisk	1.000000	fminunc
20807772	0.664832	0.536325	-0.104888	-13.927272	0.589943	33.854544	39.530005	ambigNrisk	1.000000	fminunc
21148314	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
21257050	0.917383	0.721372	-0.012202	-20.111430	0.407864	46.222859	51.898320	ambigNrisk	1.000000	fminunc
21273291	0.775506	0.496477	-0.133013	-5.906324	0.826102	17.812649	23.488110	ambigNrisk	1.000000	fminunc
21289245	0.778352	-0.254748	-0.093690	-10.833161	0.681042	27.666322	33.341783	ambigNrisk	1.000000	fminunc
21325013	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
21511887	0.404577	3.930000	-0.896801	-4.613336	0.864171	15.226672	20.902133	ambigNrisk	1.000000	fminsearch
21924119	0.436094	0.013538	-21.216243	-4.831010	0.857762	15.662019	21.337480	ambigNrisk	1.000000	fminsearch
22502338	0.800040	0.019655	-2.483751	-3.478188	0.897593	12.956376	18.631837	ambigNrisk	1.000000	fminsearch
22740564	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
22806079	0.402607	3.930000	-0.366747	-9.631141	0.716433	25.262282	30.937743	ambigNrisk	1.000000	fminunc
22939528	1.504878	1.080800	-0.000231	-17.207592	0.493361	40.415184	46.090645	ambigNrisk	1.000000	fminsearch
23039145	0.298750	-0.308892	-2.222108	-9.952055	0.706984	25.904109	31.579570	ambigNrisk	1.000000	fminunc
23333970	0.562465	1.072798	-0.171188	-11.497448	0.661483	28.994896	34.670356	ambigNrisk	1.000000	fminunc
23580859	0.652726	0.541498	-0.134841	-11.439290	0.663196	28.878580	34.554041	ambigNrisk	1.000000	fminunc
23603498	0.969917	1.425121	-0.009027	-14.311180	0.578639	34.622359	40.297820	ambigNrisk	1.000000	fminunc
23665558	0.600880	0.982806	-0.143524	-11.268281	0.668231	28.536562	34.212023	ambigNrisk	1.000000	fminunc
23733910	0.430677	0.650188	-27.040562	-1.386494	0.959178	8.772989	14.448450	ambigNrisk	1.000000	fminsearch
24592991	0.579994	0.512637	-0.203114	-12.023506	0.645995	30.047013	35.722474	ambigNrisk	1.000000	fminunc
24869237	0.941140	0.957248	-0.013147	-14.886847	0.561690	35.773695	41.449156	ambigNrisk	1.000000	fminunc
25051878	0.311998	0.744486	-0.925180	-9.827521	0.710651	25.655042	31.330503	ambigNrisk	1.000000	fminunc
25361174	0.178700	3.929992	-2.845322	-4.817061	0.858172	15.634122	21.309583	ambigNrisk	1.000000	fminunc
25451961	0.860144	1.158831	-0.038231	-8.104849	0.761371	22.209698	27.885159	ambigNrisk	1.000000	fminunc
25540529	0.178700	3.929878	-3.881065	-3.591260	0.894263	13.182520	18.857981	ambigNrisk	1.000000	fminunc
25676317	0.178700	-0.500113	-159484.556659	-1.390795	0.959051	8.781589	14.457050	ambigNrisk	1.000000	fminsearch
25775740	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
26055103	0.198277	3.930000	-3.621981	-3.549739	0.895486	13.099477	18.774938	ambigNrisk	1.000000	fminsearch
26102920	0.861353	-0.057805	-1.399194	-1.387694	0.959142	8.775389	14.450850	ambigNrisk	1.000000	fminsearch
26259666	0.748539	0.670398	-0.114906	-6.691161	0.802994	19.382322	25.057783	ambigNrisk	1.000000	fminunc
26460196	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
26698554	0.328603	0.812890	-17.475745	-1.386294	0.959184	8.772589	14.448050	ambigNrisk	1.000000	fminsearch
27400171	0.625351	0.125072	-0.115712	-18.879520	0.444135	43.759039	49.434500	ambigNrisk	1.000000	fminunc
27580674	0.762384	0.448874	-0.051394	-16.168369	0.523959	38.336738	44.012199	ambigNrisk	1.000000	fminunc
27836861	0.392501	3.930000	-0.454028	-8.503240	0.749641	23.006481	28.681941	ambigNrisk	1.000000	fminsearch
27931088	0.391687	1.100154	-56.592146	-0.000200	0.999994	6.000400	11.675861	ambigNrisk	1.000000	fminsearch
28011402	0.328603	0.812890	-17.475745	-1.386294	0.959184	8.772589	14.448050	ambigNrisk	1.000000	fminsearch
28281717	0.391687	1.100154	-56.592146	-0.000200	0.999994	6.000400	11.675861	ambigNrisk	1.000000	fminsearch
28371831	0.225967	0.263500	-110.888156	-0.000000	1.000000	6.000000	11.675461	ambigNrisk	1.000000	fminsearch
28592394	0.409046	0.237477	-0.947200	-7.866839	0.768379	21.733677	27.409138	ambigNrisk	1.000000	fminunc
28609832	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
28763843	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
28937165	0.235949	3.930000	-2.266001	-4.575014	0.865299	15.150029	20.825490	ambigNrisk	1.000000	fminsearch
29380431	0.288128	-0.381294	-1.850264	-13.309283	0.608138	32.618567	38.294028	ambigNrisk	1.000000	fminunc
29929735	0.676344	0.159619	-0.138927	-10.548527	0.689422	27.097054	32.772515	ambigNrisk	1.000000	fminunc
30409871	0.404577	3.930000	-0.896801	-4.613336	0.864171	15.226672	20.902133	ambigNrisk	1.000000	fminsearch
30491829	0.855300	0.691036	-0.014074	-23.848294	0.297840	53.696588	59.372049	ambigNrisk	1.000000	fminunc
30873660	0.626498	0.869392	-0.118610	-12.436679	0.633830	30.873357	36.548818	ambigNrisk	1.000000	fminunc
31007684	0.594369	0.352468	-0.131406	-18.844124	0.445177	43.688247	49.363708	ambigNrisk	1.000000	fminunc
31274220	0.693736	3.930000	-0.053954	-9.758154	0.712693	25.516307	31.191768	ambigNrisk	1.000000	fminsearch
31637262	2.949500	-1.990000	-0.000000	-28.919542	0.148529	63.839084	69.514545	ambigNrisk	1.000000	fminsearch
31787201	0.692567	0.165679	-0.043440	-25.680940	0.243882	57.361879	63.037340	ambigNrisk	1.000000	fminunc
31913614	0.624751	0.540865	-0.241185	-6.966671	0.794882	19.933342	25.608803	ambigNrisk	1.000000	fminunc
32024524	0.763852	0.396879	-0.028959	-24.125761	0.289671	54.251521	59.926982	ambigNrisk	1.000000	fminunc
32174002	0.832689	1.742750	-0.031592	-9.746052	0.713049	25.492103	31.167564	ambigNrisk	1.000000	fminunc
32362220	0.570062	0.682704	-0.203057	-11.185255	0.670675	28.370510	34.045971	ambigNrisk	1.000000	fminunc
